  ModulePlayer.cpp
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleparticles.h(67): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\modulemap1.h(27): warning C4305: 'initializing': truncation from 'double' to 'float'
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(148): warning C4305: 'initializing': truncation from 'double' to 'float'
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(438): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(444): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(456): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(463): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(464): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(471): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(472): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(473): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(480): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(481): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(482): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(489): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(490): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(491): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(492): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
